longitud_ordenamiento,tiempo
1000000,0.22562600
1000000,0.22516300
1000000,0.21900000
1000000,0.22544200
1000000,0.22494800
1000000,0.22643200
1000000,0.21509400
1000000,0.21634800
1000000,0.22438200
1000000,0.21483500
1100000,0.24932000
1100000,0.24574800
1100000,0.24721500
1100000,0.25131900
1100000,0.23773200
1100000,0.24462400
1100000,0.24400500
1100000,0.24127700
1100000,0.26625900
1100000,0.24993700
1100000,0.24586300
1100000,0.24682600
1100000,0.24147100
1100000,0.24379700
1100000,0.24189600
1100000,0.25000700
1100000,0.23839000
1100000,0.24185900
1100000,0.24305500
1100000,0.24133100
1100000,0.24703700
1100000,0.25291200
1100000,0.25065900
1100000,0.25067600
1100000,0.24276700
1100000,0.24927700
1100000,0.25563200
1100000,0.25309400
1100000,0.24086000
1100000,0.23982500
1200000,0.26327900
1200000,0.26196400
1200000,0.25880100
1200000,0.26407100
1200000,0.25966700
1200000,0.26999000
1200000,0.26489200
1200000,0.26701600
1200000,0.26510900
1200000,0.25591500
1200000,0.27584200
1200000,0.26542800
1200000,0.40578200
1200000,0.33829400
1200000,0.25336300
1200000,0.26232000
1200000,0.25564700
1200000,0.26240800
1200000,0.25551700
1200000,0.26353500
1200000,0.25610000
1200000,0.26503800
1200000,0.27634700
1200000,0.25787100
1200000,0.26253300
1200000,0.26389200
1200000,0.25360500
1200000,0.27177600
1200000,0.25874400
1200000,0.27284300
1300000,0.27398900
1300000,0.28402300
1300000,0.27912300
1300000,0.29638500
1300000,0.28832300
1300000,0.29588800
1300000,0.28842000
1300000,0.28814000
1300000,0.28723500
1300000,0.28419800
1300000,0.28789500
1300000,0.29656400
1300000,0.27634200
1300000,0.29032900
1300000,0.29684800
1300000,0.29712900
1300000,0.29287900
1300000,0.53638800
1300000,0.28114900
1300000,0.28310500
1300000,0.28708300
1300000,0.28604300
1300000,0.29284100
1300000,0.28481300
1300000,0.28465200
1300000,0.28323100
1300000,0.29535200
1300000,0.29368000
1300000,0.29511200
1300000,0.28642000
1400000,0.32151700
1400000,0.31555200
1400000,0.31261600
1400000,0.31446400
1400000,0.30979600
1400000,0.30937500
1400000,0.31466600
1400000,0.30416000
1400000,0.31946800
1400000,0.31435700
1400000,0.30757800
1400000,0.31734300
1400000,0.31690800
1400000,0.33395700
1400000,0.33324700
1400000,0.30641400
1400000,0.31313300
1400000,0.31148400
1400000,0.30917600
1400000,0.31365100
1400000,0.31403200
1400000,0.30500500
1400000,0.31274400
1400000,0.30591100
1400000,0.31277300
1400000,0.31392200
1400000,0.30652400
1400000,0.31953500
1400000,0.30729600
1400000,0.32157300
1500000,0.32803900
1500000,0.34564800
1500000,0.33507400
1500000,0.32955700
1500000,0.32584200
1500000,0.34557600
1500000,0.34207600
1500000,0.34356100
1500000,0.33233300
1500000,0.33307500
1500000,0.32717100
1500000,0.33676400
1500000,0.35354100
1500000,0.39704300
1500000,0.36515700
1500000,0.35203200
1500000,0.33801100
1500000,0.39090700
1500000,0.34120800
1500000,0.33653900
1500000,0.33772000
1500000,0.35346500
1500000,0.33825600
1500000,0.34001100
1500000,0.35022300
1500000,0.33902700
1500000,0.35125000
1500000,0.34376700
1500000,0.34619500
1500000,0.34181800
1600000,0.36210800
1600000,0.36087600
1600000,0.35796700
1600000,0.36188200
1600000,0.36225900
1600000,0.36536800
1600000,0.37142200
1600000,0.37641000
1600000,0.37936700
1600000,0.36494000
1600000,0.37867300
1600000,0.36181400
1600000,0.36473800
1600000,0.36621300
1600000,0.65250600
1600000,0.35969400
1600000,0.36098600
1600000,0.37136600
1600000,0.36296200
1600000,0.36704300
1600000,0.37758600
1600000,0.37389300
1600000,0.37432400
1600000,0.37590000
1600000,0.37480200
1600000,0.37882700
1600000,0.37177700
1600000,0.37176800
1600000,0.36012600
1600000,0.36351800
1700000,0.38560700
1700000,0.39883200
1700000,0.39879900
1700000,0.38604300
1700000,0.45476700
1700000,0.53029000
1700000,0.41097900
1700000,0.40333000
1700000,0.38902600
1700000,0.44278200
1700000,0.40442800
1700000,0.39084800
1700000,0.39149100
1700000,0.39145500
1700000,0.41722700
1700000,0.41880200
1700000,0.41993700
1700000,0.41031800
1700000,0.41541900
1700000,0.40351800
1700000,0.41626000
1700000,0.40797400
1700000,0.41393800
1700000,0.44007800
1700000,0.40552200
1700000,0.40349100
1700000,0.39932400
1700000,0.41989000
1700000,0.41161100
1700000,0.42991000
1800000,0.43547400
1800000,0.43585200
1800000,0.42947200
1800000,0.45124900
1800000,0.44079500
1800000,0.45692800
1800000,0.44883300
1800000,0.45527700
1800000,0.47327000
1800000,0.46788900
1800000,0.43515500
1800000,0.51969100
1800000,0.50915900
1800000,0.51656400
1800000,0.49194100
1800000,0.50090900
1800000,0.48454000
1800000,0.48945300
1800000,0.48032400
1800000,0.48049100
1800000,0.52184900
1800000,0.49911800
1800000,0.49017400
1800000,0.44714900
1800000,0.43775800
1800000,0.42005500
1800000,0.43524000
1800000,0.43388400
1800000,0.43425700
1800000,0.43925700
1900000,0.46099300
1900000,0.51337300
1900000,0.52014900
1900000,0.45197800
1900000,0.44155600
1900000,0.44537900
1900000,0.44573300
1900000,0.45228200
1900000,0.44890700
1900000,0.49389600
1900000,0.46778200
1900000,0.49313400
1900000,0.56171700
1900000,0.44734700
1900000,0.45337500
1900000,0.44306800
1900000,0.46564900
1900000,0.45846600
1900000,0.45506600
1900000,0.45341800
1900000,0.45264000
1900000,0.44723000
1900000,0.79320200
1900000,0.43650200
1900000,0.44131900
1900000,0.44194800
1900000,0.46725500
1900000,0.46188900
1900000,0.46576600
1900000,0.44618700
2000000,0.46681400
2000000,0.46636300
2000000,0.47460500
2000000,0.49982300
